item,count,f
"Department of Economics Ohio State University",1,0.53
"Department of Economics and Statistics",1,0.53
"Department of Electrical and Computer Engineering",1,0.53
"Department of Engineering and Management",1,0.53
"Department of Humanities and Social Sciences",1,0.53
"Department of Informatics",1,0.53
"Department of Information Management",1,0.53
"Department of Information Technology",1,0.53
"Department of Library",1,0.53
"Department of MSI and ECOOM",1,0.53
"Department of Marketing and Trade Deals",1,0.53
"Department of Mathematics and Information Education",1,0.53
"Department of Overseas Information",1,0.53
"Department of Political and Social Sciences",1,0.53
"Department of Psychiatry (MC912)",1,0.53
"Departments of Rheumatology and Research and Development",1,0.53
"Dept. MSI",1,0.53
"Dept. Management and Economics",1,0.53
"Dept. of Appl. Math.",1,0.53
"Dept. of Computer Science",1,0.53
"Deptt. of Information Technology",1,0.53
"Detroit",1,0.53
"Dipartimento di Ingegneria dell'Impresa",1,0.53
"Division of the Humanities",1,0.53
"Dr. Aiguader 88",1,0.53
"Drexel University",1,0.53
"Dudley",1,0.53
"Dudley Group NHS Foundation Trust (Teaching Trust of the University of Birmingham",1,0.53
"Dusseldorf",1,0.53
"ECOOM",1,0.53
"EE and CS",1,0.53
"ETH Zurich",1,0.53
"East China Normal University",1,0.53
"Edge Hill University",1,0.53
"Evanston",1,0.53
"FEB",1,0.53
"Faculty of Computer Sciences",1,0.53
"Faculty of Electronics and Information Technology",1,0.53
"Faculty of Information and Technology",1,0.53
"Federal University of Minas Gerais",1,0.53
"Fisciano",1,0.53
"Foundation University",1,0.53
"Foundation University Institute of Rehabilitation Sciences",1,0.53
"Freiberg",1,0.53
"Fundacio Parc de Recerca Biomedica de Barcelona (FPRBB)",1,0.53
"GESIS - Leibniz-Institute for the Social Sciences",1,0.53
"GESIS Leibniz Institute for the Social Sciences",1,0.53
"GESIS Leibniz-Institute for the Social Sciences",1,0.53
"Gesis - Leibniz-Institute for the Social Sciences",1,0.53
"Ghent University",1,0.53
"Google Engineering",1,0.53
"Graduate School of Library and Information Science",1,0.53
"Gyeonggi-Do",1,0.53
"Haidian District",1,0.53
"Heidelberg Institute for Theoretical Studies GGmbH",1,0.53
"Heidelberg Institute for Theoretical Studies gGmbH",1,0.53
"Heifei",1,0.53
"Heinrich-Heine-Universitat Dusseldorf",1,0.53
"Hitotsubashi 2-1-2",1,0.53
"Hochschule fur Technik und Wirtschaft",1,0.53
"Hochschulring 18",1,0.53
"Hohhot",1,0.53
"Hong Kong University of Science and Technology",1,0.53
"Huazhong University of Science and Technology",1,0.53
"IMT Institute for Advanced Studies Lucca",1,0.53
"INESC TEC",1,0.53
"Ikenobe 3011-2",1,0.53
"Indian Institute of Technology",1,0.53
"Indiana University",1,0.53
"Inesc Tec and University of Tras-os-Montes e Alto Douro",1,0.53
"Informatics Research Center",1,0.53
"Information and Archives Management",1,0.53
"Information and Electrical Engineering",1,0.53
