item,count,f
"Lu C-Y",1,0.53
"Lu Z",1,0.53
"Lukasik M",1,0.53
"Ma K-L",1,0.53
"Ma Y",1,0.53
"Masada T",1,0.53
"Mazloumian A",1,0.53
"Mehrotra S",1,0.53
"Meira Jr W",1,0.53
"Memon AR",1,0.53
"Mendez-Vasquez RI",1,0.53
"Miao C",1,0.53
"Mihaljevic H",1,0.53
"Milojevic S",1,0.53
"Mitra D",1,0.53
"Mozafari N",1,0.53
"Muelder CW",1,0.53
"Na S-H",1,0.53
"Nelhans G",1,0.53
"Nie T",1,0.53
"Nolin J",1,0.53
"Nurmashev B",1,0.53
"Olson N",1,0.53
"Ortiz J",1,0.53
"Pan T",1,0.53
"Paredes H",1,0.53
"Park Y-T",1,0.53
"Paulino D",1,0.53
"Peng B",1,0.53
"Peng J",1,0.53
"Penner O",1,0.53
"Pereira DA",1,0.53
"Perlich C",1,0.53
"Peroni S",1,0.53
"Petersen AM",1,0.53
"Pitts M",1,0.53
"Prasath D",1,0.53
"Protasiewicz J",1,0.53
"Qadir A",1,0.53
"Qadir MA",1,0.53
"Qian L",1,0.53
"Qian Y",1,0.53
"Qin J",1,0.53
"Qu H",1,0.53
"Quan J",1,0.53
"Ralha CG",1,0.53
"Ran Y",1,0.53
"Ribeiro-Neto B",1,0.53
"Rinaldi F",1,0.53
"Rodriguez-Esteban R",1,0.53
"Rohatgi S",1,0.53
"Rollins J",1,0.53
"Rosen G",1,0.53
"Rousseau JF",1,0.53
"Roy N",1,0.53
"Saha A",1,0.53
"Sakai T",1,0.53
"Santamaria L",1,0.53
"Sanyal D",1,0.53
"Sanyal DK",1,0.53
"Sapitri AI",1,0.53
"Saquicela V",1,0.53
"Sarkozy A",1,0.53
"Schifano SF",1,0.53
"Schneider D",1,0.53
"Schulz C",1,0.53
"Sefid A",1,0.53
"Segarra J",1,0.53
"Sgarbanti T",1,0.53
"Shen D",1,0.53
"Shen Q",1,0.53
"Shen W",1,0.53
"Sheng X",1,0.53
"Silva F",1,0.53
"Silva JMB",1,0.53
"Silva R",1,0.53
"Sivertsen G",1,0.53
"Slyman A",1,0.53
"Song H",1,0.53
"Steinberg J",1,0.53
"Steinhauer HJ",1,0.53
"Subramanian S",1,0.53
"Sumba X",1,0.53
"Sunen-Pinyol E",1,0.53
"Sung W-K",1,0.53
"Takasu A",1,0.53
"Talabaf G",1,0.53
"Tang A",1,0.53
"Tang F",1,0.53
"Teixeira Da silva JA",1,0.53
"Thijs B",1,0.53
"Tomassetti L",1,0.53
"Topham P",1,0.53
"Torres RDS",1,0.53
"Tran HN",1,0.53
"Van Eck NJ",1,0.53
"Varadharajalu A",1,0.53
"Vishnyakova D",1,0.53
"Vitale MP",1,0.53
"Voronov AA",1,0.53
"Wang B",1,0.53
"Wang C",1,0.53
"Wang D",1,0.53
"Wang H",1,0.53
"Wang J",1,0.53
"Wang T",1,0.53
"Wang Y",1,0.53
"Weinberg BA",1,0.53
"Wen C",1,0.53
"Wilbur WJ",1,0.53
"Wong W",1,0.53
"Wu H",1,0.53
"Wu J",1,0.53
"Wu T",1,0.53
"Wu W",1,0.53
"Wu Y-H",1,0.53
"Xing Y",1,0.53
"Xiong B",1,0.53
"Xu S",1,0.53
"Xu W",1,0.53
"Yan Z",1,0.53
"Yang H",1,0.53
"Yang J",1,0.53
"Yang X",1,0.53
"Yao C",1,0.53
"Ye J",1,0.53
"Yeganova L",1,0.53
"Yessirkepov M",1,0.53
"Yi W",1,0.53
"Yifan Y",1,0.53
"Ying",1,0.53
"Ying C",1,0.53
"Yu B",1,0.53
"Yu Y",1,0.53
"Yuan X",1,0.53
"Yunci Z",1,0.53
"Zaccarin S",1,0.53
"Zhai X",1,0.53
"Zhang P",1,0.53
"Zhang R",1,0.53
"Zhao",1,0.53
"Zhao L",1,0.53
"Zhao Z",1,0.53
"Zhe S",1,0.53
"Zheng Q",1,0.53
"Zheng X",1,0.53
"Zheng Y",1,0.53
"Zhou A",1,0.53
"Zhou Q",1,0.53
"Zhou X",1,0.53
"Ziviani N",1,0.53
