item,count,f
"Kim H",1,0.47
"Kim H-M",1,0.47
"Kim HJ",1,0.47
"Kim J-M",1,0.47
"Kim P",1,0.47
"Kim W",1,0.47
"King D",1,0.47
"Kitas GD",1,0.47
"Kling H",1,0.47
"Klosik DF",1,0.47
"Kou Y",1,0.47
"Lamprecht D",1,0.47
"Lariviere V",1,0.47
"Le D-T",1,0.47
"Lee Giles C",1,0.47
"Lee H-M",1,0.47
"Lee J-H",1,0.47
"Lee S",1,0.47
"Lee YH",1,0.47
"Lemos LC",1,0.47
"Lestari SD",1,0.47
"Levin FH",1,0.47
"Li D",1,0.47
"Li H",1,0.47
"Li W",1,0.47
"Li X",1,0.47
"Li Y",1,0.47
"Lin X",1,0.47
"Ling J",1,0.47
"Liptrott M",1,0.47
"Liu T",1,0.47
"Liu Y",1,0.47
"Lu A",1,0.47
"Lu C",1,0.47
"Lu C-Y",1,0.47
"Lu K",1,0.47
"Lu Z",1,0.47
"Lu ZY",1,0.47
"Lukasik M",1,0.47
"Lyu XZ",1,0.47
"Ma K-L",1,0.47
"Ma Y",1,0.47
"Macaluso B",1,0.47
"Manzoor A",1,0.47
"Mao YQ",1,0.47
"Masada T",1,0.47
"Mazloumian A",1,0.47
"Mcgillivray B",1,0.47
"Mehrotra S",1,0.47
"Meira Jr W",1,0.47
"Memon AR",1,0.47
"Mendez-Vasquez RI",1,0.47
"Miao C",1,0.47
"Mihaljevic H",1,0.47
"Milojevic S",1,0.47
"Mitra D",1,0.47
"Mozafari N",1,0.47
"Muelder CW",1,0.47
"Na S-H",1,0.47
"Nelhans G",1,0.47
"Newman MEJ",1,0.47
"Nie T",1,0.47
"Nolin J",1,0.47
"Nurmashev B",1,0.47
"Olson N",1,0.47
"Ortiz J",1,0.47
"Pan T",1,0.47
"Paredes H",1,0.47
"Park Y-T",1,0.47
"Paulino D",1,0.47
"Peng B",1,0.47
"Peng J",1,0.47
"Penner O",1,0.47
"Pereira DA",1,0.47
"Perlich C",1,0.47
"Petersen AM",1,0.47
"Pitts M",1,0.47
"Prasath D",1,0.47
"Protasiewicz J",1,0.47
"Qadir A",1,0.47
"Qadir MA",1,0.47
"Qian L",1,0.47
"Qian Y",1,0.47
"Qin J",1,0.47
"Qiping D",1,0.47
"Qu H",1,0.47
"Quan J",1,0.47
"Ralha CG",1,0.47
"Ran Y",1,0.47
"Rauch C",1,0.47
"Ribeiro-Neto B",1,0.47
"Rinaldi F",1,0.47
"Rodriguez-Esteban R",1,0.47
"Rohatgi S",1,0.47
"Rollins J",1,0.47
"Rosen G",1,0.47
"Rousseau JF",1,0.47
"Roy N",1,0.47
"Sack H",1,0.47
"Saha A",1,0.47
"Sakai T",1,0.47
"Santamaria L",1,0.47
"Santini C",1,0.47
"Sanyal D",1,0.47
"Sanyal DK",1,0.47
"Sapitri AI",1,0.47
"Saquicela V",1,0.47
"Sarkozy A",1,0.47
"Schifano SF",1,0.47
"Schneider D",1,0.47
"Schulz C",1,0.47
"Sefid A",1,0.47
"Segarra J",1,0.47
"Sgarbanti T",1,0.47
"Shen D",1,0.47
"Shen Q",1,0.47
"Shen W",1,0.47
"Sheng X",1,0.47
"Silva F",1,0.47
"Silva JMB",1,0.47
"Silva R",1,0.47
"Simeng C",1,0.47
"Sivertsen G",1,0.47
"Slyman A",1,0.47
"Song H",1,0.47
"Staden I",1,0.47
"Steinberg J",1,0.47
"Steinhauer HJ",1,0.47
"Subramanian S",1,0.47
"Sugimoto CR",1,0.47
"Sumba X",1,0.47
"Sunen-Pinyol E",1,0.47
"Sung W-K",1,0.47
"Takasu A",1,0.47
"Talabaf G",1,0.47
"Tang A",1,0.47
"Tang F",1,0.47
"Tang J",1,0.47
"Teixeira Da silva JA",1,0.47
"Thijs B",1,0.47
"Tomassetti L",1,0.47
"Topham P",1,0.47
"Torres RDS",1,0.47
"Tran HN",1,0.47
"Van Eck NJ",1,0.47
"Varadharajalu A",1,0.47
"Vishnyakova D",1,0.47
"Vitale MP",1,0.47
"Voronov AA",1,0.47
"Waaijer CJF",1,0.47
"Wang B",1,0.47
"Wang C",1,0.47
"Wang D",1,0.47
"Wang H",1,0.47
"Wang J",1,0.47
"Wang T",1,0.47
"Wang Y",1,0.47
"Weijing C",1,0.47
"Weinberg BA",1,0.47
"Wen C",1,0.47
"Weng CH",1,0.47
"Whitaker K",1,0.47
"Wilbur WJ",1,0.47
"Wong W",1,0.47
"Wu H",1,0.47
"Wu J",1,0.47
"Wu T",1,0.47
"Wu W",1,0.47
"Wu Y-H",1,0.47
"Xing Y",1,0.47
"Xiong B",1,0.47
"Xu W",1,0.47
"Yan Z",1,0.47
"Yang GC",1,0.47
"Yang H",1,0.47
"Yang J",1,0.47
"Yang X",1,0.47
"Yao C",1,0.47
"Ye J",1,0.47
"Yeganova L",1,0.47
"Yessirkepov M",1,0.47
"Yi W",1,0.47
"Yifan Y",1,0.47
